Season,Games,Accuracy,HomeBaseline,Lift,BrierScore,ConfidentGames,ConfidentAccuracy
2024,2432,0.5514,0.5214,0.03,0.2495,1313,0.575
2025,2432,0.551,0.5436,0.0074,0.249,1253,0.5722
